record - recordId,record - aatNedId,record - subjectId,record - status,record - pt,record - bt,record - uf,record - eq
300051487,800013185,300051487,voorkeursterm,houtdraadbouten,bouten naar vorm,houtdraadbout,houtdraadbout
300051488,800013186,300051488,voorkeursterm,kolombouten,bouten naar locatie of context,kolombout,kolombout
300051489,800013187,300051489,voorkeursterm,leuningbouten,bouten naar locatie of context,leuningbout,leuningbout
300051490,800013188,300051490,voorkeursterm,weerstandsverhitting,verwarmingssystemen,,
300051494,800013189,300051494,voorkeursterm,bintankers,ankers,bintanker,bintanker
300051500,800013190,300051500,voorkeursterm,heetwaterverwarming,verwarmingssystemen,,
300051501,800013191,300051501,voorkeursterm,verstelbare pijpbeugels,hangers naar vorm,verstelbare pijpbeugel,verstelbare pijpbeugel
300051505,800013192,300051505,voorkeursterm,verwarming door middel van stralingspanelen,verwarmingssystemen,,
300051508,800013193,300051508,voorkeursterm,haken en ogen,bevestigingsmiddelen,haak en oog,haak en oog
300051512,800013194,300051512,voorkeursterm,zonverwarming,verwarmingssystemen,,
300051518,800013195,300051518,voorkeursterm,actieve zonverwarming,zonverwarming,,
300051520,800013196,300051520,voorkeursterm,passieve zonverwarming,zonverwarming,,
300051524,800013197,300051524,voorkeursterm,stoomverwarming,verwarmingssystemen,,
300051529,800013198,300051529,voorkeursterm,vacuum heating,stoomverwarming,,
300051531,800013199,300051531,voorkeursterm,heteluchtverwarming,verwarmingssystemen,,
300051535,800013200,300051535,voorkeursterm,gestuwde luchtverwarming,heteluchtverwarming,,
300051541,800013201,300051541,voorkeursterm,ventilatie,klimaatsystemen,,
300051547,800013202,300051547,voorkeursterm,mechanisch afzuigsysteem,ventilatie,,
300051551,800013203,300051551,voorkeursterm,mechanische ventilatie,ventilatie,,
300051554,800013204,300051554,voorkeursterm,natuurlijke ventilatie,ventilatie,,
300051557,800013205,300051557,voorkeursterm,airconditioning,klimaatsystemen,,
300051563,800013206,300051563,voorkeursterm,centrale airconditioning,airconditioning,,
300051566,800013207,300051566,voorkeursterm,incremental air conditioning,airconditioning,,
300051632,800013208,300051632,voorkeursterm,luchtkoeling,klimaatsystemen,,
300051921,800013209,300051921,voorkeursterm,stelmoeren,moeren,stelmoer,stelmoer
300051922,800013210,300051922,voorkeursterm,stelschroeven,stelschroeven,stelschroef,stelschroef
300051923,800013211,300051923,voorkeursterm,muurankers,ankers,muuranker,muuranker
300051924,800013212,300051924,voorkeursterm,hoekverbanden,ankers,hoekverband,hoekverband
300051926,800013213,300051926,voorkeursterm,ankerplaten,ankers,ankerplaat,ankerplaat
300051927,800013214,300051927,voorkeursterm,hoekverbindingen,verbindingen naar vorm,hoekverbinding,hoekverbinding
300051928,800013215,300051928,voorkeursterm,specievoegen,metselvoegen naar vorm,specievoeg,specievoeg
300051930,800013216,300051930,voorkeursterm,kogelscharnieren,metaalvoegen,kogelscharnier,kogelscharnier
300051932,800013217,300051932,voorkeursterm,messing- en groefverbinding,sluitnaden,,
300051933,800013218,300051933,voorkeursterm,vingerlassen,sluitnaden,vingerlas,vingerlas
300051936,800013219,300051936,voorkeursterm,hopper joints,stuiknaden,hopper joint,hopper joint
300051939,800013220,300051939,voorkeursterm,verstekgezaagde rabatnaden,sponningverbindingen,verstekgezaagde rabatnaad,verstekgezaagde rabatnaad
300051941,800013221,300051941,voorkeursterm,dado and rabbet joints,pen- en gatverbinding,dado and rabbet joint,dado and rabbet joint
300051943,800013222,300051943,voorkeursterm,haaklassen,verbindingen naar vorm,haaklas,haaklas
300051944,800013223,300051944,voorkeursterm,verlichtingssystemen,systemen naar functie,verlichtingssysteem,verlichtingssysteem
300051955,800013224,300051955,voorkeursterm,kunstlicht,licht,,
300051958,800013225,300051958,voorkeursterm,elektrische verlichting,verlichting naar soort lichtbron,,
300051961,800013226,300051961,voorkeursterm,gasverlichting,verlichting naar soort lichtbron,,
300051964,800013227,300051964,voorkeursterm,daglicht,licht,,
300051972,800013228,300051972,voorkeursterm,verlichting naar soort lichtbron,verlichtingssystemen,,
300051980,800013229,300051980,voorkeursterm,directe belichting,belichtingstechnieken naar verdeling,,
300051982,800013230,300051982,voorkeursterm,gerichte belichting,belichtingstechnieken naar richting,,
300051987,800013231,300051987,voorkeursterm,floodlight,belichtingstechnieken naar verdeling,,
300051994,800013232,300051994,voorkeursterm,strooilicht,belichtingstechnieken naar richting,,
