ODIS_ID,ODIS URI,RECORD_OMSCHRIJVING,Soort_N,Waarde_N
54,http://www.odis.be/lnk/PS_54,Joseph Ullens-Van den Cruyse (1792-1859),F4N1,"Ullens-Van den Cruyse, Joseph"
54,http://www.odis.be/lnk/PS_54,Joseph Ullens-Van den Cruyse (1792-1859),F4N5,"Ullens-Van den Cruyse, Josephus"
56,http://www.odis.be/lnk/PS_56,Jacques Peeters (1770-1851),F1N1,"Peeters, Jacob"
56,http://www.odis.be/lnk/PS_56,Jacques Peeters (1770-1851),F1N2,"Peeters, Jacques"
57,http://www.odis.be/lnk/PS_57,Jean Baptiste Fremie (1783-1850),F1N1,"Fremie, Jean Baptiste"
57,http://www.odis.be/lnk/PS_57,Jean Baptiste Fremie (1783-1850),F1N5,"Fremie, Joannes Baptista"
57,http://www.odis.be/lnk/PS_57,Jean Baptiste Fremie (1783-1850),F4N1,"Frémie, Jean Baptiste"
57,http://www.odis.be/lnk/PS_57,Jean Baptiste Fremie (1783-1850),F4N5,"Frémie, Joannes Baptista"
58,http://www.odis.be/lnk/PS_58,Gummarus Stalpaert (1782-1843),F1N1,"Stalpaert, Gommaire"
58,http://www.odis.be/lnk/PS_58,Gummarus Stalpaert (1782-1843),F1N5,"Stalpaert, Gummarus"
59,http://www.odis.be/lnk/PS_59,Pierre Cantinjou-Vertommen (1787-1850),F1N1,"Cantinjou, Pierre"
59,http://www.odis.be/lnk/PS_59,Pierre Cantinjou-Vertommen (1787-1850),F1N5,"Cantinjou, Petrus"
59,http://www.odis.be/lnk/PS_59,Pierre Cantinjou-Vertommen (1787-1850),F4N1,"Cantinjou-Vertommen, Pierre"
59,http://www.odis.be/lnk/PS_59,Pierre Cantinjou-Vertommen (1787-1850),F4N5,"Cantinjou-Vertommen, Petrus"
60,http://www.odis.be/lnk/PS_60,Jean Louis Bausart (1778-1852),F1N1,"Bausart, Jean Louis"
60,http://www.odis.be/lnk/PS_60,Jean Louis Bausart (1778-1852),F1N5,"Bausart, Louis"
61,http://www.odis.be/lnk/PS_61,Jean François de Billemont (1805-1901),F1N1,"De Billemont, Jan-Frans"
61,http://www.odis.be/lnk/PS_61,Jean François de Billemont (1805-1901),F1N2,"De Billemont, Jean François"
61,http://www.odis.be/lnk/PS_61,Jean François de Billemont (1805-1901),F1N5,"De Billemont, Jean"
61,http://www.odis.be/lnk/PS_61,Jean François de Billemont (1805-1901),F4N1,"de Billemont, Jan-Frans"
61,http://www.odis.be/lnk/PS_61,Jean François de Billemont (1805-1901),F4N2,"de Billemont, Jean François"
61,http://www.odis.be/lnk/PS_61,Jean François de Billemont (1805-1901),F4N5,"de Billemont, Jean"
62,http://www.odis.be/lnk/PS_62,Ferdinand du Bois de Nevele (1795-1862),F1N5,"Du Bois, Ferdinand"
